,Type of DES,Component#1,Component#2,X#1 (molar fraction),X#2 (molar fraction),"Temperature, K","Density, g/cm^3",I,III,IV,V,SMILES#1,SMILES#2,MolLogP#1,NumHeteroatoms#1,NumAromaticRings#1,NumHAcceptors#1,NumHDonors#1,NumRotatableBonds#1,TPSA#1,MolWt#1,MolLogP#2,NumHeteroatoms#2,NumAromaticRings#2,NumHAcceptors#2,NumHDonors#2,NumRotatableBonds#2,TPSA#2,MolWt#2
15,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.4,0.6,313.0,1.213,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
16,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.4,0.6,323.0,1.206,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
17,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.4,0.6,333.0,1.198,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
18,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.4,0.6,343.0,1.19,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
19,Ⅰ,Iron(3+) Trichloride,Tetrabutylphosphonium bromide,0.4,0.6,353.0,1.183,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCC[P+](CCCC)(CCCC)CCCC.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,3.208400000000001,2,0,0,0,12,0.0,339.3419999999999
20,Ⅰ,Iron(3+) Trichloride,Tetradecyltrimethylammonium bromide,0.5,0.5,298.0,1.23,1,0,0,0,[Cl-].[Cl-].[Cl-].[Fe+3],CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],-8.990499999999999,4,0,0,0,0,0.0,162.204,2.3977000000000004,2,0,0,0,13,0.0,336.40199999999993
21,Ⅰ,STANNIC CHLORIDE [MI],"N-benzyl-N,N-dibutylbutan-1-aminium chloride",0.667,0.333,298.0,1.0043,1,0,0,0,[Cl-].[Cl-].[Cl-].[Cl-].[Sn+4],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],-12.3648,5,0,0,0,0,0.0,260.523,2.4077,2,1,0,0,11,0.0,311.9409999999999
22,Ⅰ,Zincchloride,1-Butyl-3-methyl imidazolium chloride,0.5,0.5,300.2,1.1025,1,0,0,0,[Cl-].[Cl-].[Zn+2],CCCCN1C=C[N+](=C1)C.[Cl-],-5.9945,3,0,0,0,0,0.0,136.296,-1.8832999999999969,3,1,1,0,3,8.809999999999999,174.67499999999998
23,Ⅰ,Zincchloride,1-Butyl-3-methylimidazolium chloride,0.333,0.667,303.15,1.34292,1,0,0,0,[Cl-].[Cl-].[Zn+2],CCCCN1C=C[N+](=C1)C.[Cl-],-5.9945,3,0,0,0,0,0.0,136.296,-1.8832999999999969,3,1,1,0,3,8.809999999999999,174.67499999999998
24,Ⅰ,Zincchloride,1-Butyl-3-methylimidazolium chloride,0.5,0.5,303.15,1.50913,1,0,0,0,[Cl-].[Cl-].[Zn+2],CCCCN1C=C[N+](=C1)C.[Cl-],-5.9945,3,0,0,0,0,0.0,136.296,-1.8832999999999969,3,1,1,0,3,8.809999999999999,174.67499999999998
25,Ⅰ,Zincchloride,"N-benzyl-N,N-dibutylbutan-1-aminium chloride",0.667,0.333,298.0,1.0014,1,0,0,0,[Cl-].[Cl-].[Zn+2],CCCC[N+](CCCC)(CCCC)CC1=CC=CC=C1.[Cl-],-5.9945,3,0,0,0,0,0.0,136.296,2.4077,2,1,0,0,11,0.0,311.9409999999999
26,Ⅲ,1-Butyl-3-methylimidazolium chloride,Ethylene glycol,0.333,0.667,303.15,1.09213,0,1,0,0,CCCCN1C=C[N+](=C1)C.[Cl-],C(CO)O,-1.8832999999999969,3,1,1,0,3,8.809999999999999,174.67499999999998,-1.029,2,0,2,2,1,40.46,62.068000000000005
27,Ⅲ,1-Butyl-3-methylimidazolium chloride,Ethylene glycol,0.5,0.5,303.15,1.08636,0,1,0,0,CCCCN1C=C[N+](=C1)C.[Cl-],C(CO)O,-1.8832999999999969,3,1,1,0,3,8.809999999999999,174.67499999999998,-1.029,2,0,2,2,1,40.46,62.068000000000005
28,Ⅲ,1-Ethyl-3-methylimidazolium chloride,"1,2,4-Triazole",0.5,0.5,313.2,1.16822,0,1,0,0,CCN1C=C[N+](=C1)C.[Cl-],C1=NC=NN1,-2.6634999999999973,3,1,1,0,1,8.809999999999999,146.62099999999998,-0.19530000000000008,3,1,2,1,0,41.57,69.067
29,Ⅲ,1-Ethyl-3-methylimidazolium chloride,1H-Benzotriazole,0.5,0.5,313.2,1.4666,0,1,0,0,CCN1C=C[N+](=C1)C.[Cl-],C1=CC2=NNN=C2C=C1,-2.6634999999999973,3,1,1,0,1,8.809999999999999,146.62099999999998,0.9578999999999998,3,2,2,1,0,41.57,119.12699999999997
30,Ⅲ,1-Ethyl-3-methylimidazolium chloride,1H-Tetrazole,0.5,0.5,313.2,1.16062,0,1,0,0,CCN1C=C[N+](=C1)C.[Cl-],C1=NNN=N1,-2.6634999999999973,3,1,1,0,1,8.809999999999999,146.62099999999998,-0.8003000000000002,4,1,3,1,0,54.46,70.05499999999999
31,Ⅲ,1-Ethyl-3-methylimidazolium chloride,Benzimidazole,0.5,0.5,313.2,1.1985,0,1,0,0,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C2C(=C1)NC=N2,-2.6634999999999973,3,1,1,0,1,8.809999999999999,146.62099999999998,1.5628999999999995,2,2,1,1,0,28.68,118.13899999999998
32,Ⅲ,1-Ethyl-3-methylimidazolium chloride,Imidazole,0.5,0.5,313.2,1.14956,0,1,0,0,CCN1C=C[N+](=C1)C.[Cl-],C1=CN=CN1,-2.6634999999999973,3,1,1,0,1,8.809999999999999,146.62099999999998,0.40969999999999995,2,1,1,1,0,28.68,68.079
33,Ⅲ,1-Ethyl-3-methylimidazolium chloride,Phenol,0.5,0.5,313.2,1.11071,0,1,0,0,CCN1C=C[N+](=C1)C.[Cl-],C1=CC=C(C=C1)O,-2.6634999999999973,3,1,1,0,1,8.809999999999999,146.62099999999998,1.3921999999999997,1,1,1,1,0,20.23,94.11299999999997
34,Ⅲ,1-Ethyl-3-methylimidazolium chloride,Succinimide,0.5,0.5,313.2,1.12093,0,1,0,0,CCN1C=C[N+](=C1)C.[Cl-],C1CC(=O)NC1=O,-2.6634999999999973,3,1,1,0,1,8.809999999999999,146.62099999999998,-0.5770000000000002,3,0,2,1,0,46.17,99.08899999999998
35,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.143,0.857,293.15,1.2982,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
36,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.143,0.857,303.15,1.2917,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
37,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.143,0.857,313.15,1.2851,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
38,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.143,0.857,323.15,1.2786,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
39,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.143,0.857,333.15,1.272,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
40,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.143,0.857,343.15,1.2654,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
41,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.143,0.857,353.15,1.2587,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
42,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.167,0.833,293.15,1.2983,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
43,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.167,0.833,303.15,1.2918,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
44,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.167,0.833,313.15,1.2854,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
45,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.167,0.833,323.15,1.2788,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
46,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.167,0.833,333.15,1.2725,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
47,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.167,0.833,343.15,1.2656,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
48,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.167,0.833,353.15,1.2589,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
49,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.2,0.8,293.15,1.3085,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
50,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.2,0.8,303.15,1.302,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
51,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.2,0.8,313.15,1.2955,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
52,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.2,0.8,323.15,1.289,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
53,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.2,0.8,333.15,1.2823,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
54,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.2,0.8,343.15,1.2757,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
55,Ⅲ,"1-Hydroxyethyl-1,4-dimethyl-piperazinium bromide",Glycerol,0.2,0.8,353.15,1.269,0,1,0,0,CC([N+]1(CCN(CC1)C)C)O.[Br-],C(C(CO)O)O,-3.279299999999996,4,0,2,1,1,23.47,239.157,-1.6681000000000001,3,0,3,3,2,60.69,92.09399999999998
56,Ⅲ,1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",0.333,0.667,293.15,1.2543,0,1,0,0,CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,-1.749299999999997,2,0,0,0,1,0.0,194.11599999999999,0.5313999999999999,2,0,2,2,5,40.46,118.17599999999999
57,Ⅲ,1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",0.333,0.667,298.15,1.2504,0,1,0,0,CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,-1.749299999999997,2,0,0,0,1,0.0,194.11599999999999,0.5313999999999999,2,0,2,2,5,40.46,118.17599999999999
58,Ⅲ,1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",0.333,0.667,303.15,1.2473,0,1,0,0,CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,-1.749299999999997,2,0,0,0,1,0.0,194.11599999999999,0.5313999999999999,2,0,2,2,5,40.46,118.17599999999999
59,Ⅲ,1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",0.333,0.667,308.15,1.2432,0,1,0,0,CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,-1.749299999999997,2,0,0,0,1,0.0,194.11599999999999,0.5313999999999999,2,0,2,2,5,40.46,118.17599999999999
60,Ⅲ,1-ethyl-1-methylpyrrolidinium bromide,"1,6-hexanediol",0.333,0.667,313.15,1.2404,0,1,0,0,CC[N+]1(CCCC1)C.[Br-],C(CCCO)CCO,-1.749299999999997,2,0,0,0,1,0.0,194.11599999999999,0.5313999999999999,2,0,2,2,5,40.46,118.17599999999999
61,Ⅲ,Acetylcholine chloride,"1,2,4-Triazole",0.5,0.5,303.15,1.1293,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,-0.19530000000000008,3,1,2,1,0,41.57,69.067
62,Ⅲ,Acetylcholine chloride,"1,2,4-Triazole",0.5,0.5,313.15,1.1249,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,-0.19530000000000008,3,1,2,1,0,41.57,69.067
63,Ⅲ,Acetylcholine chloride,"1,2,4-Triazole",0.5,0.5,323.15,1.1193,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,-0.19530000000000008,3,1,2,1,0,41.57,69.067
64,Ⅲ,Acetylcholine chloride,"1,2,4-Triazole",0.5,0.5,333.15,1.1133,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,-0.19530000000000008,3,1,2,1,0,41.57,69.067
65,Ⅲ,Acetylcholine chloride,"1,2,4-Triazole",0.5,0.5,343.15,1.1081,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,-0.19530000000000008,3,1,2,1,0,41.57,69.067
66,Ⅲ,Acetylcholine chloride,"1,2,4-Triazole",0.5,0.5,353.15,1.1037,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,-0.19530000000000008,3,1,2,1,0,41.57,69.067
67,Ⅲ,Acetylcholine chloride,"1,2,4-Triazole",0.5,0.5,363.15,1.1002,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=NC=NN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,-0.19530000000000008,3,1,2,1,0,41.57,69.067
68,Ⅲ,Acetylcholine chloride,Guaiacol,0.16667,0.83333,293.15,1.1527,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
69,Ⅲ,Acetylcholine chloride,Guaiacol,0.16667,0.83333,303.15,1.1481,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
70,Ⅲ,Acetylcholine chloride,Guaiacol,0.16667,0.83333,313.15,1.1425,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
71,Ⅲ,Acetylcholine chloride,Guaiacol,0.16667,0.83333,323.15,1.1351,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
72,Ⅲ,Acetylcholine chloride,Guaiacol,0.2,0.8,293.15,1.1493,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
73,Ⅲ,Acetylcholine chloride,Guaiacol,0.2,0.8,303.15,1.1448,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
74,Ⅲ,Acetylcholine chloride,Guaiacol,0.2,0.8,313.15,1.1381,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
75,Ⅲ,Acetylcholine chloride,Guaiacol,0.2,0.8,323.15,1.1317,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
76,Ⅲ,Acetylcholine chloride,Guaiacol,0.25,0.75,293.15,1.1496,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
77,Ⅲ,Acetylcholine chloride,Guaiacol,0.25,0.75,303.15,1.1461,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
78,Ⅲ,Acetylcholine chloride,Guaiacol,0.25,0.75,313.15,1.1398,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
79,Ⅲ,Acetylcholine chloride,Guaiacol,0.25,0.75,323.15,1.1338,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],COC1=CC=CC=C1O,-2.740299999999996,4,0,2,0,3,26.3,181.663,1.4008,2,1,2,1,1,29.46,124.13899999999997
80,Ⅲ,Acetylcholine chloride,Imidazole,0.25,0.75,303.15,1.1557,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,0.40969999999999995,2,1,1,1,0,28.68,68.079
81,Ⅲ,Acetylcholine chloride,Imidazole,0.25,0.75,313.15,1.1517,0,1,0,0,CC(=O)OCC[N+](C)(C)C.[Cl-],C1=CN=CN1,-2.740299999999996,4,0,2,0,3,26.3,181.663,0.40969999999999995,2,1,1,1,0,28.68,68.079
